north,south,east,west,servo1,servo2,servo3,servo4
-90.0,-45.0,-2.5,10.0,0.674,1.84,0.923,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.839,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.924,2.757
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.925,2.761
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.924,2.761
-90.0,-45.0,-2.5,10.0,0.674,1.84,0.923,2.759
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.926,2.757
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.923,2.758
-90.0,-45.0,-2.5,10.0,0.673,1.841,0.926,2.759
-90.0,-45.0,-2.5,10.0,0.675,1.839,0.924,2.757
-90.0,-45.0,-2.5,10.0,0.674,1.84,0.923,2.756
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.925,2.758
90.0,45.0,2.5,-10.0,0.675,1.841,0.924,2.759
90.0,45.0,2.5,-10.0,0.675,1.841,0.924,2.756
90.0,45.0,2.5,-10.0,0.676,1.841,0.923,2.757
90.0,45.0,2.5,-10.0,0.675,1.841,0.927,2.759
90.0,45.0,2.5,-10.0,0.674,1.84,0.926,2.758
90.0,45.0,2.5,-10.0,0.675,1.841,0.923,2.758
90.0,45.0,2.5,-10.0,0.674,1.841,0.923,2.758
90.0,45.0,2.5,-10.0,0.674,1.84,0.925,2.757
90.0,45.0,2.5,-10.0,0.673,1.84,0.922,2.757
90.0,45.0,2.5,-10.0,0.674,1.839,0.923,2.756
90.0,45.0,2.5,-10.0,0.672,1.84,0.924,2.757
90.0,45.0,2.5,-10.0,0.676,1.84,0.922,2.756
90.0,45.0,2.5,-10.0,0.674,1.84,0.926,2.759
90.0,45.0,2.5,-10.0,0.673,1.84,0.926,2.758
90.0,45.0,2.5,-10.0,0.675,1.84,0.927,2.759
90.0,45.0,2.5,-10.0,0.675,1.84,0.923,2.758
90.0,45.0,2.5,-10.0,0.675,1.84,0.925,2.759
90.0,45.0,2.5,-10.0,0.676,1.842,0.923,2.759
90.0,45.0,2.5,-10.0,0.674,1.841,0.924,2.759
90.0,45.0,2.5,-10.0,0.675,1.841,0.925,2.758
90.0,45.0,2.5,-10.0,0.675,1.842,0.924,2.759
90.0,45.0,7.5,30.0,0.674,1.838,0.925,2.758
90.0,45.0,7.5,30.0,0.674,1.84,0.924,2.759
90.0,45.0,7.5,30.0,0.674,1.841,0.924,2.757
90.0,45.0,7.5,30.0,0.674,1.839,0.924,2.758
90.0,45.0,7.5,30.0,0.675,1.841,0.923,2.758
90.0,45.0,7.5,30.0,0.675,1.841,0.924,2.757
90.0,45.0,7.5,30.0,0.674,1.84,0.924,2.759
90.0,45.0,7.5,30.0,0.673,1.839,0.924,2.76
90.0,45.0,7.5,30.0,0.675,1.841,0.924,2.758
90.0,45.0,7.5,30.0,0.675,1.84,0.923,2.757
90.0,45.0,7.5,30.0,0.675,1.84,0.921,2.758
90.0,45.0,7.5,30.0,0.674,1.841,0.925,2.758
90.0,45.0,7.5,30.0,0.675,1.84,0.924,2.757
90.0,45.0,7.5,30.0,0.673,1.841,0.923,2.759
90.0,45.0,7.5,30.0,0.675,1.841,0.924,2.759
90.0,45.0,7.5,30.0,0.675,1.843,0.925,2.759
90.0,45.0,7.5,30.0,0.676,1.84,0.923,2.758
90.0,45.0,7.5,30.0,0.673,1.84,0.924,2.758
90.0,45.0,7.5,30.0,0.675,1.841,0.925,2.759
90.0,45.0,7.5,30.0,0.675,1.839,0.925,2.757
90.0,45.0,7.5,30.0,0.676,1.842,0.922,2.758
-90.0,-45.0,12.5,10.0,0.673,1.841,0.923,2.757
-90.0,-45.0,12.5,10.0,0.675,1.84,0.925,2.757
-90.0,-45.0,12.5,10.0,0.675,1.84,0.923,2.76
-90.0,-45.0,12.5,10.0,0.674,1.841,0.923,2.756
-90.0,-45.0,12.5,10.0,0.673,1.84,0.924,2.757
-90.0,-45.0,12.5,10.0,0.676,1.841,0.925,2.757
-90.0,-45.0,12.5,10.0,0.675,1.839,0.925,2.757
-90.0,-45.0,12.5,10.0,0.674,1.841,0.924,2.759
-90.0,-45.0,12.5,10.0,0.674,1.841,0.925,2.759
-90.0,-45.0,12.5,10.0,0.675,1.841,0.924,2.758
-90.0,-45.0,12.5,10.0,0.675,1.841,0.925,2.757
-90.0,-45.0,12.5,10.0,0.675,1.84,0.923,2.759
-90.0,-45.0,12.5,10.0,0.675,1.841,0.924,2.758
-90.0,-45.0,12.5,10.0,0.675,1.839,0.924,2.759
-90.0,-45.0,12.5,10.0,0.676,1.842,0.925,2.758
-90.0,-45.0,12.5,10.0,0.676,1.84,0.926,2.757
-90.0,-45.0,12.5,10.0,0.675,1.842,0.924,2.759
-90.0,-45.0,12.5,10.0,0.674,1.841,0.925,2.759
-90.0,-45.0,12.5,10.0,0.676,1.843,0.925,2.761
-90.0,-45.0,12.5,10.0,0.673,1.84,0.924,2.759
-90.0,-45.0,12.5,10.0,0.676,1.84,0.924,2.76
-90.0,-45.0,17.5,50.0,0.674,1.838,0.924,2.755
-90.0,-45.0,17.5,50.0,0.673,1.839,0.922,2.756
-90.0,-45.0,17.5,50.0,0.674,1.841,0.923,2.756
-90.0,-45.0,17.5,50.0,0.674,1.84,0.924,2.759
-90.0,-45.0,17.5,50.0,0.675,1.84,0.923,2.758
-90.0,-45.0,17.5,50.0,0.674,1.841,0.924,2.757
-90.0,-45.0,17.5,50.0,0.674,1.841,0.923,2.756
-90.0,-45.0,17.5,50.0,0.675,1.84,0.923,2.759
-90.0,-45.0,17.5,50.0,0.675,1.838,0.925,2.757
-90.0,-45.0,17.5,50.0,0.675,1.841,0.925,2.758
-90.0,-45.0,17.5,50.0,0.675,1.841,0.924,2.757
-90.0,-45.0,17.5,50.0,0.674,1.841,0.926,2.76
-90.0,-45.0,17.5,50.0,0.674,1.841,0.924,2.759
-90.0,-45.0,17.5,50.0,0.674,1.841,0.925,2.758
-90.0,-45.0,17.5,50.0,0.674,1.84,0.922,2.757
-90.0,-45.0,17.5,50.0,0.675,1.841,0.926,2.756
-90.0,-45.0,17.5,50.0,0.674,1.84,0.924,2.757
-90.0,-45.0,17.5,50.0,0.673,1.841,0.925,2.756
-90.0,-45.0,17.5,50.0,0.675,1.84,0.924,2.758
-90.0,-45.0,17.5,50.0,0.675,1.84,0.926,2.758
-90.0,-45.0,17.5,50.0,0.676,1.842,0.925,2.757
90.0,45.0,-17.5,-50.0,0.676,1.841,0.924,2.758
90.0,45.0,-17.5,-50.0,0.674,1.84,0.924,2.757
90.0,45.0,-17.5,-50.0,0.675,1.839,0.923,2.759
90.0,45.0,-17.5,-50.0,0.674,1.841,0.922,2.757
90.0,45.0,-17.5,-50.0,0.674,1.841,0.923,2.757
90.0,45.0,-17.5,-50.0,0.675,1.841,0.924,2.759
90.0,45.0,-17.5,-50.0,0.675,1.843,0.923,2.758
90.0,45.0,-17.5,-50.0,0.675,1.841,0.922,2.758
90.0,45.0,-17.5,-50.0,0.675,1.839,0.924,2.757
90.0,45.0,-17.5,-50.0,0.674,1.84,0.926,2.756
90.0,45.0,-17.5,-50.0,0.674,1.84,0.924,2.757
90.0,45.0,-17.5,-50.0,0.674,1.839,0.924,2.756
90.0,45.0,-17.5,-50.0,0.675,1.841,0.926,2.756
90.0,45.0,-17.5,-50.0,0.675,1.841,0.924,2.756
90.0,45.0,-17.5,-50.0,0.674,1.841,0.924,2.758
90.0,45.0,-17.5,-50.0,0.674,1.84,0.923,2.756
90.0,45.0,-17.5,-50.0,0.673,1.839,0.925,2.756
90.0,45.0,-17.5,-50.0,0.674,1.839,0.924,2.757
90.0,45.0,-17.5,-50.0,0.676,1.839,0.923,2.756
90.0,45.0,-17.5,-50.0,0.673,1.839,0.924,2.758
90.0,45.0,-17.5,-50.0,0.675,1.84,0.925,2.755
90.0,45.0,-12.5,-10.0,0.673,1.84,0.924,2.757
90.0,45.0,-12.5,-10.0,0.674,1.841,0.924,2.759
90.0,45.0,-12.5,-10.0,0.674,1.839,0.923,2.756
90.0,45.0,-12.5,-10.0,0.674,1.839,0.923,2.757
90.0,45.0,-12.5,-10.0,0.674,1.839,0.923,2.756
90.0,45.0,-12.5,-10.0,0.673,1.84,0.924,2.757
90.0,45.0,-12.5,-10.0,0.675,1.841,0.924,2.758
90.0,45.0,-12.5,-10.0,0.675,1.842,0.925,2.757
90.0,45.0,-12.5,-10.0,0.674,1.84,0.923,2.757
90.0,45.0,-12.5,-10.0,0.674,1.841,0.924,2.76
90.0,45.0,-12.5,-10.0,0.674,1.841,0.924,2.757
90.0,45.0,-12.5,-10.0,0.675,1.84,0.925,2.756
90.0,45.0,-12.5,-10.0,0.675,1.839,0.925,2.757
90.0,45.0,-12.5,-10.0,0.674,1.84,0.924,2.757
90.0,45.0,-12.5,-10.0,0.675,1.841,0.923,2.758
90.0,45.0,-12.5,-10.0,0.674,1.841,0.925,2.756
90.0,45.0,-12.5,-10.0,0.675,1.841,0.925,2.758
90.0,45.0,-12.5,-10.0,0.675,1.839,0.925,2.758
90.0,45.0,-12.5,-10.0,0.674,1.841,0.925,2.759
90.0,45.0,-12.5,-10.0,0.674,1.839,0.922,2.758
90.0,45.0,-12.5,-10.0,0.674,1.84,0.925,2.758
-90.0,-45.0,-7.5,-30.0,0.674,1.839,0.923,2.758
-90.0,-45.0,-7.5,-30.0,0.674,1.84,0.924,2.758
-90.0,-45.0,-7.5,-30.0,0.676,1.842,0.923,2.76
-90.0,-45.0,-7.5,-30.0,0.675,1.841,0.925,2.76
-90.0,-45.0,-7.5,-30.0,0.675,1.84,0.923,2.758
-90.0,-45.0,-7.5,-30.0,0.674,1.84,0.924,2.757
-90.0,-45.0,-7.5,-30.0,0.675,1.84,0.923,2.758
-90.0,-45.0,-7.5,-30.0,0.674,1.841,0.926,2.758
-90.0,-45.0,-7.5,-30.0,0.675,1.841,0.924,2.758
-90.0,-45.0,-7.5,-30.0,0.674,1.841,0.926,2.759
-90.0,-45.0,-7.5,-30.0,0.676,1.841,0.923,2.756
-90.0,-45.0,-7.5,-30.0,0.675,1.841,0.925,2.758
-90.0,-45.0,-7.5,-30.0,0.674,1.84,0.923,2.757
-90.0,-45.0,-7.5,-30.0,0.674,1.84,0.924,2.757
-90.0,-45.0,-7.5,-30.0,0.676,1.841,0.924,2.759
-90.0,-45.0,-7.5,-30.0,0.675,1.838,0.924,2.757
-90.0,-45.0,-7.5,-30.0,0.675,1.841,0.922,2.758
-90.0,-45.0,-7.5,-30.0,0.675,1.841,0.923,2.757
-90.0,-45.0,-7.5,-30.0,0.674,1.838,0.925,2.757
-90.0,-45.0,-7.5,-30.0,0.675,1.84,0.923,2.757
-90.0,-45.0,-7.5,-30.0,0.674,1.84,0.923,2.756
-90.0,-45.0,-2.5,10.0,0.674,1.842,0.924,2.757
-90.0,-45.0,-2.5,10.0,0.676,1.84,0.924,2.757
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.922,2.755
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.925,2.757
-90.0,-45.0,-2.5,10.0,0.673,1.839,0.925,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.925,2.759
-90.0,-45.0,-2.5,10.0,0.675,1.84,0.923,2.759
-90.0,-45.0,-2.5,10.0,0.674,1.84,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.674,1.839,0.926,2.76
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.925,2.757
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.674,1.839,0.925,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.838,0.925,2.757
-90.0,-45.0,-2.5,10.0,0.675,1.839,0.923,2.758
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.924,2.76
-90.0,-45.0,-2.5,10.0,0.675,1.84,0.922,2.758
-90.0,-45.0,-2.5,10.0,0.674,1.838,0.923,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.84,0.923,2.758
-90.0,-45.0,-2.5,10.0,0.676,1.841,0.923,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.838,0.923,2.757
90.0,45.0,2.5,-10.0,0.675,1.84,0.924,2.756
90.0,45.0,2.5,-10.0,0.676,1.839,0.923,2.757
90.0,45.0,2.5,-10.0,0.675,1.841,0.922,2.758
90.0,45.0,2.5,-10.0,0.675,1.841,0.925,2.757
90.0,45.0,2.5,-10.0,0.674,1.84,0.923,2.758
90.0,45.0,2.5,-10.0,0.674,1.84,0.925,2.756
90.0,45.0,2.5,-10.0,0.674,1.839,0.923,2.757
90.0,45.0,2.5,-10.0,0.674,1.839,0.925,2.758
90.0,45.0,2.5,-10.0,0.675,1.84,0.924,2.758
90.0,45.0,2.5,-10.0,0.674,1.84,0.924,2.759
90.0,45.0,2.5,-10.0,0.674,1.839,0.925,2.759
90.0,45.0,2.5,-10.0,0.673,1.841,0.923,2.759
90.0,45.0,2.5,-10.0,0.674,1.84,0.925,2.758
90.0,45.0,2.5,-10.0,0.675,1.843,0.924,2.757
90.0,45.0,2.5,-10.0,0.675,1.841,0.924,2.755
90.0,45.0,2.5,-10.0,0.675,1.84,0.924,2.758
90.0,45.0,2.5,-10.0,0.674,1.84,0.922,2.757
90.0,45.0,2.5,-10.0,0.673,1.84,0.924,2.757
90.0,45.0,2.5,-10.0,0.675,1.841,0.923,2.757
90.0,45.0,2.5,-10.0,0.675,1.841,0.925,2.758
90.0,45.0,2.5,-10.0,0.673,1.841,0.922,2.757
90.0,45.0,7.5,30.0,0.675,1.839,0.923,2.757
90.0,45.0,7.5,30.0,0.674,1.84,0.925,2.757
90.0,45.0,7.5,30.0,0.675,1.842,0.924,2.758
90.0,45.0,7.5,30.0,0.674,1.841,0.925,2.76
90.0,45.0,7.5,30.0,0.674,1.84,0.925,2.758
90.0,45.0,7.5,30.0,0.676,1.84,0.926,2.759
90.0,45.0,7.5,30.0,0.675,1.841,0.923,2.757
90.0,45.0,7.5,30.0,0.675,1.841,0.924,2.759
90.0,45.0,7.5,30.0,0.676,1.841,0.924,2.758
90.0,45.0,7.5,30.0,0.674,1.84,0.924,2.759
90.0,45.0,7.5,30.0,0.674,1.84,0.923,2.757
90.0,45.0,7.5,30.0,0.676,1.839,0.923,2.759
90.0,45.0,7.5,30.0,0.675,1.842,0.924,2.756
90.0,45.0,7.5,30.0,0.675,1.841,0.925,2.757
90.0,45.0,7.5,30.0,0.674,1.84,0.921,2.757
90.0,45.0,7.5,30.0,0.673,1.838,0.924,2.756
90.0,45.0,7.5,30.0,0.675,1.842,0.925,2.758
90.0,45.0,7.5,30.0,0.675,1.84,0.924,2.758
90.0,45.0,7.5,30.0,0.674,1.841,0.924,2.758
90.0,45.0,7.5,30.0,0.673,1.841,0.923,2.757
90.0,45.0,7.5,30.0,0.675,1.842,0.924,2.759
-90.0,-45.0,12.5,10.0,0.675,1.84,0.925,2.759
-90.0,-45.0,12.5,10.0,0.674,1.84,0.923,2.755
-90.0,-45.0,12.5,10.0,0.675,1.841,0.925,2.758
-90.0,-45.0,12.5,10.0,0.675,1.839,0.924,2.759
-90.0,-45.0,12.5,10.0,0.673,1.84,0.923,2.758
-90.0,-45.0,12.5,10.0,0.674,1.84,0.923,2.756
-90.0,-45.0,12.5,10.0,0.676,1.84,0.923,2.757
-90.0,-45.0,12.5,10.0,0.674,1.841,0.923,2.758
-90.0,-45.0,12.5,10.0,0.675,1.839,0.924,2.758
-90.0,-45.0,12.5,10.0,0.674,1.841,0.925,2.758
-90.0,-45.0,12.5,10.0,0.674,1.84,0.925,2.756
-90.0,-45.0,12.5,10.0,0.676,1.839,0.925,2.759
-90.0,-45.0,12.5,10.0,0.675,1.84,0.922,2.757
-90.0,-45.0,12.5,10.0,0.676,1.84,0.923,2.757
-90.0,-45.0,12.5,10.0,0.675,1.84,0.924,2.758
-90.0,-45.0,12.5,10.0,0.675,1.841,0.923,2.759
-90.0,-45.0,12.5,10.0,0.675,1.84,0.923,2.757
-90.0,-45.0,12.5,10.0,0.675,1.839,0.924,2.76
-90.0,-45.0,12.5,10.0,0.675,1.84,0.923,2.757
-90.0,-45.0,12.5,10.0,0.676,1.841,0.921,2.756
-90.0,-45.0,12.5,10.0,0.674,1.84,0.923,2.756
-90.0,-45.0,17.5,50.0,0.673,1.84,0.924,2.757
-90.0,-45.0,17.5,50.0,0.675,1.841,0.922,2.756
-90.0,-45.0,17.5,50.0,0.674,1.84,0.922,2.757
-90.0,-45.0,17.5,50.0,0.674,1.839,0.922,2.756
-90.0,-45.0,17.5,50.0,0.673,1.838,0.923,2.756
-90.0,-45.0,17.5,50.0,0.674,1.838,0.924,2.758
-90.0,-45.0,17.5,50.0,0.675,1.839,0.924,2.757
-90.0,-45.0,17.5,50.0,0.675,1.839,0.925,2.758
-90.0,-45.0,17.5,50.0,0.675,1.841,0.923,2.759
-90.0,-45.0,17.5,50.0,0.675,1.839,0.924,2.758
-90.0,-45.0,17.5,50.0,0.675,1.838,0.923,2.757
-90.0,-45.0,17.5,50.0,0.676,1.841,0.924,2.758
-90.0,-45.0,17.5,50.0,0.676,1.838,0.926,2.757
-90.0,-45.0,17.5,50.0,0.674,1.84,0.924,2.757
-90.0,-45.0,17.5,50.0,0.674,1.841,0.924,2.755
-90.0,-45.0,17.5,50.0,0.674,1.839,0.923,2.756
-90.0,-45.0,17.5,50.0,0.674,1.84,0.925,2.755
-90.0,-45.0,17.5,50.0,0.677,1.842,0.924,2.759
-90.0,-45.0,17.5,50.0,0.674,1.841,0.923,2.758
-90.0,-45.0,17.5,50.0,0.675,1.842,0.927,2.76
-90.0,-45.0,17.5,50.0,0.675,1.839,0.923,2.757
90.0,45.0,-17.5,-50.0,0.675,1.84,0.926,2.758
90.0,45.0,-17.5,-50.0,0.674,1.838,0.923,2.756
90.0,45.0,-17.5,-50.0,0.674,1.839,0.923,2.757
90.0,45.0,-17.5,-50.0,0.674,1.839,0.924,2.757
90.0,45.0,-17.5,-50.0,0.674,1.839,0.925,2.757
90.0,45.0,-17.5,-50.0,0.675,1.839,0.925,2.757
90.0,45.0,-17.5,-50.0,0.676,1.84,0.924,2.759
90.0,45.0,-17.5,-50.0,0.675,1.84,0.925,2.758
90.0,45.0,-17.5,-50.0,0.675,1.839,0.922,2.757
90.0,45.0,-17.5,-50.0,0.674,1.84,0.925,2.757
90.0,45.0,-17.5,-50.0,0.675,1.839,0.923,2.757
90.0,45.0,-17.5,-50.0,0.675,1.839,0.923,2.756
90.0,45.0,-17.5,-50.0,0.676,1.839,0.924,2.758
90.0,45.0,-17.5,-50.0,0.674,1.839,0.923,2.757
90.0,45.0,-17.5,-50.0,0.675,1.84,0.924,2.756
90.0,45.0,-17.5,-50.0,0.674,1.842,0.924,2.758
90.0,45.0,-17.5,-50.0,0.675,1.842,0.924,2.758
90.0,45.0,-17.5,-50.0,0.675,1.839,0.924,2.757
90.0,45.0,-17.5,-50.0,0.674,1.839,0.923,2.755
90.0,45.0,-17.5,-50.0,0.675,1.841,0.925,2.759
90.0,45.0,-17.5,-50.0,0.673,1.84,0.924,2.757
90.0,45.0,-12.5,-10.0,0.675,1.839,0.924,2.756
90.0,45.0,-12.5,-10.0,0.675,1.839,0.924,2.758
90.0,45.0,-12.5,-10.0,0.674,1.84,0.925,2.757
90.0,45.0,-12.5,-10.0,0.674,1.84,0.923,2.759
90.0,45.0,-12.5,-10.0,0.674,1.839,0.924,2.758
90.0,45.0,-12.5,-10.0,0.675,1.841,0.926,2.758
90.0,45.0,-12.5,-10.0,0.675,1.841,0.926,2.757
90.0,45.0,-12.5,-10.0,0.674,1.84,0.924,2.756
90.0,45.0,-12.5,-10.0,0.675,1.841,0.924,2.758
90.0,45.0,-12.5,-10.0,0.674,1.84,0.923,2.759
90.0,45.0,-12.5,-10.0,0.674,1.839,0.925,2.759
90.0,45.0,-12.5,-10.0,0.673,1.839,0.924,2.756
90.0,45.0,-12.5,-10.0,0.674,1.838,0.924,2.756
90.0,45.0,-12.5,-10.0,0.675,1.84,0.92,2.758
90.0,45.0,-12.5,-10.0,0.675,1.839,0.924,2.756
90.0,45.0,-12.5,-10.0,0.676,1.84,0.923,2.757
90.0,45.0,-12.5,-10.0,0.675,1.841,0.924,2.757
90.0,45.0,-12.5,-10.0,0.675,1.841,0.926,2.758
90.0,45.0,-12.5,-10.0,0.674,1.841,0.923,2.758
90.0,45.0,-12.5,-10.0,0.674,1.84,0.924,2.758
90.0,45.0,-12.5,-10.0,0.674,1.841,0.924,2.757
-90.0,-45.0,-7.5,-30.0,0.673,1.838,0.924,2.757
-90.0,-45.0,-7.5,-30.0,0.674,1.84,0.924,2.758
-90.0,-45.0,-7.5,-30.0,0.675,1.839,0.924,2.756
-90.0,-45.0,-7.5,-30.0,0.674,1.839,0.924,2.757
-90.0,-45.0,-7.5,-30.0,0.674,1.838,0.924,2.757
-90.0,-45.0,-7.5,-30.0,0.674,1.839,0.924,2.757
-90.0,-45.0,-7.5,-30.0,0.673,1.84,0.924,2.756
-90.0,-45.0,-7.5,-30.0,0.674,1.84,0.925,2.758
-90.0,-45.0,-7.5,-30.0,0.675,1.84,0.922,2.757
-90.0,-45.0,-7.5,-30.0,0.673,1.84,0.923,2.757
-90.0,-45.0,-7.5,-30.0,0.676,1.84,0.923,2.758
-90.0,-45.0,-7.5,-30.0,0.676,1.841,0.924,2.758
-90.0,-45.0,-7.5,-30.0,0.675,1.841,0.923,2.758
-90.0,-45.0,-7.5,-30.0,0.675,1.84,0.924,2.76
-90.0,-45.0,-7.5,-30.0,0.674,1.842,0.922,2.759
-90.0,-45.0,-7.5,-30.0,0.674,1.841,0.923,2.758
-90.0,-45.0,-7.5,-30.0,0.674,1.841,0.924,2.758
-90.0,-45.0,-7.5,-30.0,0.675,1.841,0.925,2.759
-90.0,-45.0,-7.5,-30.0,0.673,1.84,0.925,2.757
-90.0,-45.0,-7.5,-30.0,0.676,1.84,0.923,2.756
-90.0,-45.0,-7.5,-30.0,0.675,1.842,0.927,2.759
-90.0,-45.0,-2.5,10.0,0.674,1.84,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.674,1.84,0.923,2.757
-90.0,-45.0,-2.5,10.0,0.674,1.84,0.924,2.757
-90.0,-45.0,-2.5,10.0,0.674,1.839,0.925,2.757
-90.0,-45.0,-2.5,10.0,0.673,1.84,0.925,2.758
-90.0,-45.0,-2.5,10.0,0.673,1.838,0.924,2.757
-90.0,-45.0,-2.5,10.0,0.675,1.84,0.923,2.759
-90.0,-45.0,-2.5,10.0,0.673,1.839,0.923,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.923,2.759
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.922,2.757
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.924,2.757
-90.0,-45.0,-2.5,10.0,0.675,1.84,0.925,2.758
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.921,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.923,2.757
-90.0,-45.0,-2.5,10.0,0.674,1.841,0.925,2.757
-90.0,-45.0,-2.5,10.0,0.674,1.843,0.926,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.84,0.924,2.759
-90.0,-45.0,-2.5,10.0,0.675,1.841,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.674,1.84,0.925,2.756
-90.0,-45.0,-2.5,10.0,0.674,1.84,0.924,2.758
-90.0,-45.0,-2.5,10.0,0.675,1.84,0.923,2.758
90.0,45.0,2.5,-10.0,0.674,1.838,0.923,2.756
90.0,45.0,2.5,-10.0,0.675,1.842,0.923,2.757
90.0,45.0,2.5,-10.0,0.674,1.84,0.923,2.757
90.0,45.0,2.5,-10.0,0.675,1.84,0.924,2.76
90.0,45.0,2.5,-10.0,0.676,1.838,0.923,2.759
90.0,45.0,2.5,-10.0,0.673,1.84,0.924,2.76
90.0,45.0,2.5,-10.0,0.675,1.839,0.923,2.758
90.0,45.0,2.5,-10.0,0.674,1.838,0.923,2.758
90.0,45.0,2.5,-10.0,0.673,1.839,0.924,2.754
90.0,45.0,2.5,-10.0,0.674,1.84,0.923,2.758
90.0,45.0,2.5,-10.0,0.676,1.841,0.923,2.758
90.0,45.0,2.5,-10.0,0.673,1.842,0.923,2.759
90.0,45.0,2.5,-10.0,0.675,1.841,0.925,2.756
90.0,45.0,2.5,-10.0,0.674,1.841,0.925,2.757
90.0,45.0,2.5,-10.0,0.675,1.84,0.924,2.756
90.0,45.0,2.5,-10.0,0.673,1.84,0.926,2.759
90.0,45.0,2.5,-10.0,0.675,1.841,0.924,2.758
90.0,45.0,2.5,-10.0,0.676,1.841,0.925,2.758
90.0,45.0,2.5,-10.0,0.674,1.842,0.923,2.759
90.0,45.0,2.5,-10.0,0.675,1.84,0.924,2.757
90.0,45.0,2.5,-10.0,0.674,1.84,0.925,2.758
90.0,45.0,7.5,30.0,0.673,1.841,0.924,2.757
90.0,45.0,7.5,30.0,0.675,1.841,0.925,2.758
90.0,45.0,7.5,30.0,0.673,1.841,0.925,2.758
90.0,45.0,7.5,30.0,0.675,1.841,0.924,2.76
90.0,45.0,7.5,30.0,0.675,1.839,0.922,2.757
90.0,45.0,7.5,30.0,0.674,1.84,0.923,2.756
90.0,45.0,7.5,30.0,0.674,1.84,0.923,2.757
90.0,45.0,7.5,30.0,0.673,1.841,0.924,2.756
90.0,45.0,7.5,30.0,0.673,1.84,0.924,2.758
90.0,45.0,7.5,30.0,0.675,1.84,0.925,2.756
90.0,45.0,7.5,30.0,0.675,1.84,0.923,2.757
90.0,45.0,7.5,30.0,0.673,1.84,0.921,2.757
90.0,45.0,7.5,30.0,0.674,1.84,0.926,2.758
90.0,45.0,7.5,30.0,0.674,1.84,0.923,2.756
90.0,45.0,7.5,30.0,0.673,1.84,0.924,2.756
90.0,45.0,7.5,30.0,0.675,1.84,0.926,2.755
90.0,45.0,7.5,30.0,0.675,1.841,0.926,2.758
90.0,45.0,7.5,30.0,0.674,1.841,0.925,2.758
90.0,45.0,7.5,30.0,0.673,1.84,0.925,2.757
90.0,45.0,7.5,30.0,0.674,1.839,0.924,2.757
90.0,45.0,7.5,30.0,0.673,1.839,0.924,2.756
-90.0,-45.0,12.5,10.0,0.674,1.84,0.924,2.755
-90.0,-45.0,12.5,10.0,0.674,1.839,0.924,2.756
-90.0,-45.0,12.5,10.0,0.675,1.839,0.924,2.758
-90.0,-45.0,12.5,10.0,0.675,1.84,0.924,2.757
-90.0,-45.0,12.5,10.0,0.674,1.839,0.925,2.757
-90.0,-45.0,12.5,10.0,0.675,1.841,0.922,2.757
-90.0,-45.0,12.5,10.0,0.674,1.84,0.923,2.758
-90.0,-45.0,12.5,10.0,0.675,1.84,0.924,2.755
-90.0,-45.0,12.5,10.0,0.674,1.84,0.924,2.758
-90.0,-45.0,12.5,10.0,0.676,1.841,0.925,2.758
-90.0,-45.0,12.5,10.0,0.675,1.839,0.924,2.757
-90.0,-45.0,12.5,10.0,0.674,1.841,0.922,2.758
-90.0,-45.0,12.5,10.0,0.674,1.84,0.924,2.756
-90.0,-45.0,12.5,10.0,0.675,1.839,0.925,2.758
-90.0,-45.0,12.5,10.0,0.676,1.84,0.926,2.758
-90.0,-45.0,12.5,10.0,0.674,1.84,0.925,2.759
-90.0,-45.0,12.5,10.0,0.674,1.842,0.925,2.757
-90.0,-45.0,12.5,10.0,0.674,1.84,0.924,2.758
-90.0,-45.0,12.5,10.0,0.675,1.838,0.924,2.755
